Fra,Til,KWH 60 Forbruk
01.11.2021 00:00,01.11.2021 01:00,"0,532"
01.11.2021 01:00,01.11.2021 02:00,"3,679"
01.11.2021 02:00,01.11.2021 03:00,"9,272"
01.11.2021 03:00,01.11.2021 04:00,"9,278"
01.11.2021 04:00,01.11.2021 05:00,"5,434"
01.11.2021 05:00,01.11.2021 06:00,"0,529"
01.11.2021 06:00,01.11.2021 07:00,"0,569"
01.11.2021 07:00,01.11.2021 08:00,"3,498"
01.11.2021 08:00,01.11.2021 09:00,"1,206"
01.11.2021 09:00,01.11.2021 10:00,"0,862"
01.11.2021 10:00,01.11.2021 11:00,"0,769"
01.11.2021 11:00,01.11.2021 12:00,"0,799"
01.11.2021 12:00,01.11.2021 13:00,"0,724"
01.11.2021 13:00,01.11.2021 14:00,"0,747"
01.11.2021 14:00,01.11.2021 15:00,"1,982"
01.11.2021 15:00,01.11.2021 16:00,"1,289"
01.11.2021 16:00,01.11.2021 17:00,"2,858"
01.11.2021 17:00,01.11.2021 18:00,"3,093"
01.11.2021 18:00,01.11.2021 19:00,"1,976"
01.11.2021 19:00,01.11.2021 20:00,"1,922"
01.11.2021 20:00,01.11.2021 21:00,"1,2"
01.11.2021 21:00,01.11.2021 22:00,"0,652"
01.11.2021 22:00,01.11.2021 23:00,"1,569"
01.11.2021 23:00,02.11.2021 00:00,"0,704"
02.11.2021 00:00,02.11.2021 01:00,"0,657"
02.11.2021 01:00,02.11.2021 02:00,"0,699"
02.11.2021 02:00,02.11.2021 03:00,"0,76"
02.11.2021 03:00,02.11.2021 04:00,"0,707"
02.11.2021 04:00,02.11.2021 05:00,"0,713"
02.11.2021 05:00,02.11.2021 06:00,"0,705"
02.11.2021 06:00,02.11.2021 07:00,"1,653"
02.11.2021 07:00,02.11.2021 08:00,"1,699"
02.11.2021 08:00,02.11.2021 09:00,"1,365"
02.11.2021 09:00,02.11.2021 10:00,"0,739"
02.11.2021 10:00,02.11.2021 11:00,"0,705"
02.11.2021 11:00,02.11.2021 12:00,"0,693"
02.11.2021 12:00,02.11.2021 13:00,"0,667"
